function_name	segment	start	length	locals	args_count	R	F	L	M	O	S	B	T	=	X
$18_tpwr10	seg003	00000CA9	0000003E			R	.	.	.	.	.	.	.	.	.
$i8_m8	seg003	00000223	0000004D			R	.	L	.	.	.	.	.	.	.
$m4_i4	seg003	00000180	00000048			R	.	L	.	.	.	.	.	.	.
$m8_i8	seg003	000001C8	0000005B			R	.	L	.	.	.	.	.	.	.
B$$TCR	seg002	00001FEA	00000008	00000002		R	.	L	.	.	.	.	.	.	.
B$$WCHT	seg002	00001FF2	00000009			R	.	L	.	.	.	.	.	.	.
B$ADArraySize	seg002	00001DBE	00000030	00000008		R	.	L	.	.	.	.	.	.	.
B$ADDL	seg002	000046E4	00000026	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$ADD_EXT	seg002	000030C0	00000017	00000002		R	.	L	.	.	.	.	.	.	.
B$ASCRND	seg002	00001FA6	00000043	00000004		R	.	L	.	.	.	.	.	.	.
B$AdjustDgroupPmi	seg005	000005F7	0000003E	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$AdjustStringAD	seg002	000019E3	0000001F	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$AlcTmpSH	seg002	000021E4	00000033	00000000	00000002	R	F	L	.	.	.	B	.	.	.
B$AllocDestStr	seg002	00000D28	00000035			R	F	L	.	.	.	.	.	.	.
B$AllocFDB	seg002	000000FC	00000060	0000000A		R	F	L	.	.	.	.	.	.	.
B$AssureStrTemp	seg002	0000225A	00000017			R	F	L	.	.	.	.	.	.	.
B$BEEP	seg002	00001803	00000004			R	F	L	.	.	.	.	.	.	.
B$BLEEP	seg002	00003315	00000012	00000004		R	.	L	.	.	.	.	.	.	.
B$BREAK_CHK	seg002	00003181	00000024			R	.	L	.	.	.	.	.	.	.
B$BumpDS	seg002	000042F7	0000000C	00000002		R	.	L	.	.	.	.	.	.	.
B$BumpES	seg002	00004303	0000000C	00000002		R	.	L	.	.	.	.	.	.	.
B$CENC	seg002	00000F3F	00000009	00000002	00000004	R	.	L	.	.	.	B	.	.	.
B$CEND	seg002	00000F48	00000009	00000002		.	.	.	.	.	.	B	.	.	.
B$CENP	seg002	00000F2A	00000017	00000002		R	F	L	.	.	.	B	.	.	.
B$CHKFOPEN	seg002	0000025C	00000042	00000002		R	F	L	.	.	.	.	.	.	.
B$CHKLASTCOL	seg002	0000175C	00000012			R	.	L	.	.	.	.	.	.	.
B$CHKNAM	seg002	000001F8	0000006C	00000004		R	F	L	.	.	.	.	.	.	.
B$CHK_WRITE	seg002	00001335	0000002C			R	F	L	.	.	.	.	.	.	.
B$CLOS	seg002	000002B4	0000003A	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$CLOSE	seg002	00002D0D	00000009	00000002		R	F	L	.	.	.	.	.	.	.
B$CLOSF	seg002	0000029E	00000016	00000002		R	.	L	.	.	.	.	.	.	.
B$CLRSCN	seg002	000031CA	00000069	00000008		R	.	L	.	.	.	.	.	.	.
B$CMI4	seg002	000000B9	0000001B	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$CNINI	seg002	00002A8C	00000021			R	.	L	.	.	.	.	.	.	.
B$CNKBDRESET	seg002	00002AC0	0000000B			R	.	L	.	.	.	.	.	.	.
B$CNKBDSET	seg002	00002AAD	00000013			R	.	L	.	.	.	.	.	.	.
B$CNTERM	seg002	00002ACB	00000024			R	.	L	.	.	.	.	.	.	.
B$CON_STROUT	seg002	00003327	00000013	00000006		R	.	L	.	.	.	.	.	.	.
B$CPI4	seg002	00000097	00000022	00000002	00000008	R	F	L	.	.	.	B	T	.	.
B$CRLF	seg002	00001E5E	00000014			R	.	L	.	.	.	.	.	.	.
B$CalcHugeArrayGap	seg002	00001986	00000020	00000000		R	.	L	.	.	.	.	.	.	.
B$CbAllocSb	seg002	00001E96	00000007	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$CbCompactHeap	seg005	00000061	00000047	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$CbReallocSb	seg002	00001E9D	00000037	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$CbSizeSb	seg002	00001EE4	00000016	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$CheckBlockMove	seg005	0000056B	00000036	00000002	00000004	R	.	L	.	.	.	B	.	.	.
B$ChkFNUM	seg002	00002C1B	0000000C			R	F	L	.	.	.	.	.	.	.
B$ChkMonitor	seg002	00003F3C	0000003B			R	.	L	.	.	.	.	.	.	.
B$CompactHandles	seg005	00000759	00000066	00000002		R	.	L	.	.	.	.	.	.	.
B$CompactSB	seg002	00004484	000000DA	00000006		R	.	L	.	.	.	.	.	.	.
B$CreateHeap	seg005	00000000	00000061	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$DDIM	seg002	00001808	00000134	00000002	00000008	R	F	L	.	.	.	B	T	.	.
B$DEVOPN	seg002	00002F16	0000003E	00000002		R	F	.	.	.	.	.	.	.	.
B$DISKOPEN	seg002	00002D16	000001E3	00000006		R	F	.	.	.	.	.	.	.	.
B$DISK_BAKC	seg002	00002B6E	00000005			R	.	L	.	.	.	.	.	.	.
B$DISK_CLOSE	seg002	00002B73	00000036	00000006		R	.	L	.	.	.	.	.	.	.
B$DISK_EOF	seg002	00002BA9	00000027			R	F	L	.	.	.	.	.	.	.
B$DISK_SINP	seg002	00002C50	0000007B	00000002		R	F	L	.	.	.	.	.	.	.
B$DKERR	seg002	0000135F	0000000B			R	.	L	.	.	.	.	.	.	.
B$DOS3CHECK	seg002	00003195	00000006			R	.	L	.	.	.	.	.	.	.
B$DSEG	seg002	00001B71	0000000D	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$DSG0	seg002	00001B6C	00000005			R	F	L	.	.	.	.	.	.	.
B$DVI4	seg002	0000008D	00000005			R	F	L	.	.	.	.	.	.	.
B$DeLink	seg002	000046C9	0000001B			R	.	L	.	.	.	.	.	.	.
B$DeallocFDB	seg002	00000163	00000051	0000000A		R	.	L	.	.	.	.	.	.	.
B$DecDS	seg002	0000430F	0000000C	00000002		R	.	L	.	.	.	.	.	.	.
B$DelStrBlock	seg002	0000442D	00000041			R	.	L	.	.	.	.	.	.	.
B$DelStrTemp	seg002	0000228E	0000000B			R	.	L	.	.	.	.	.	.	.
B$DelString	seg002	00002299	0000001C			R	.	L	.	.	.	.	.	.	.
B$DelTempSH	seg002	00002271	0000001D			R	.	L	.	.	.	.	.	.	.
B$DevDispatch	seg002	0000031E	00000005	00000006		R	.	L	.	.	.	.	.	.	.
B$DosReadWrite	seg002	00002CEE	00000022	00000006		R	.	L	.	.	.	.	.	.	.
B$END	seg002	00000F51	0000000C			R	.	.	.	.	.	.	.	.	.
B$ENRA	seg002	00001C97	00000044	0000000C		R	.	L	.	.	.	B	.	.	.
B$ENRD	seg002	00001C86	00000011			R	F	L	.	.	.	.	.	.	.
B$ERAS	seg002	00004388	000000A5	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$ERR_SSC	seg002	000035CE	000000E2	00000000		R	F	L	.	.	.	B	.	.	.
B$ERS1	seg002	000047A1	00000024	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$EXCY	seg002	00001D6D	00000034	00000008		R	F	L	.	.	.	.	.	.	.
B$EXFA	seg002	00001D50	0000001D	00000002		R	F	L	.	.	.	.	.	.	.
B$EXSA	seg002	00001CE1	0000006F	00000006		R	F	L	.	.	.	.	.	.	.
B$EXTS	seg002	00001DA1	0000001C			R	F	L	.	.	.	.	.	.	.
B$EgaPalPut	seg002	000045AE	00000028	00000000		R	.	L	.	.	.	.	.	.	.
B$EgaPalSet	seg002	000045FB	00000057	00000002		R	.	L	.	.	.	.	.	.	.
B$EgaPalTrans	seg002	000045D6	00000025	00000000		R	.	L	.	.	.	.	.	.	.
B$EraseAllAFHDs	seg002	0000470A	0000004B			R	.	L	.	.	.	.	.	.	.
B$ErrorReturn	seg002	0000272F	00000002			R	.	L	.	.	.	.	.	.	.
B$FASC	seg002	0000093E	00000015	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$FAllocHandles	seg005	000007BF	00000069	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$FCHR	seg002	00000ED8	0000001C	00000002	00000002	R	F	L	.	.	.	B	T	.	.
B$FCVC	seg002	00000BBE	00000018	00000000	00000004	R	F	L	.	.	.	B	.	.	.
B$FCVD	seg002	00001B7E	00000051	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$FCVI_0	seg002	00000B9D	0000001E	00000000	00000004	R	F	L	.	.	.	B	.	.	.
B$FCompactMove	seg005	0000083D	000000E5	0000000A	00000004	R	.	.	.	.	.	B	.	.	.
B$FCompactMoveHandles	seg005	00000828	00000015	00000000	00000004	R	.	L	.	.	.	.	.	.	.
B$FHAllocRealloc	seg002	0000446E	00000016			R	F	L	.	.	.	.	.	.	.
B$FILESIZE	seg002	00002C2B	00000005			R	F	L	.	.	.	.	.	.	.
B$FIN	seg002	00001DEE	0000001F	00000002		R	.	L	.	.	.	.	.	.	.
B$FINP	seg002	0000035A	000000CB	00000002	00000004	R	F	L	.	.	.	B	T	.	.
B$FIX4	seg003	00000082	00000016	00000002		R	F	L	.	.	.	B	.	.	.
B$FLUSH	seg002	000012CA	0000001E			R	.	L	.	.	.	.	.	.	.
B$FMDF	seg002	00000C42	00000010	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$FMID	seg002	000009FC	0000001D	00000002	00000006	R	F	L	.	.	.	B	T	.	.
B$FMKC	seg002	00000C00	00000015	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$FMKI	seg002	00000BD6	00000015	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$FMKL	seg002	00000BEB	00000015	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$FMSF	seg002	00000C52	00000010	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$FOUTBX	seg002	00001F52	00000054			R	.	L	.	.	.	.	.	.	.
B$FRI2	seg002	0000139A	00000008	00000002	00000004	R	.	.	.	.	.	B	T	.	.
B$FReallocAdjustPpv	seg005	000000FC	00000007	00000000		R	F	L	.	.	.	B	.	.	.
B$FReallocStackCb	seg005	00000480	00000038	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$FResizePpv	seg005	00000103	00000005			R	.	L	.	.	.	.	.	.	.
B$FSEK	seg002	0000085C	0000001F	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$FSTF	seg002	0000136A	00000061	00000002		R	F	.	.	.	.	B	.	.	.
B$FSTK	seg002	0000104E	0000001F	00000002		R	F	L	.	.	.	.	.	.	.
B$FarRet	seg002	00001AB6	00000001			R	F	.	.	.	.	.	.	.	.
B$FindFrame	seg002	000022FB	00000018			R	.	L	.	.	.	.	.	.	.
B$FixTextPage	seg002	00004086	00000038	00000002		R	.	L	.	.	.	.	.	.	.
B$FlushCount	seg002	000012E8	00000053	00000006		R	.	.	.	.	.	.	.	.	.
B$FreeDataPpv	seg005	00000238	0000004D	00000000	00000006	R	F	L	.	.	.	B	.	.	.
B$FreeHandle	seg005	0000074C	0000000D			R	.	L	.	.	.	.	.	.	.
B$FreeHandleBlock	seg005	000003DC	00000024	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$FreeHandleBlockCh	seg005	00000400	0000002F	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$FreeSb	seg002	00001ED4	00000010	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$FreeSbRange	seg002	00001F17	0000003A	00000002	00000002	R	.	L	.	.	.	B	.	.	.
B$GETCH	seg002	00001E4E	00000010			R	.	L	.	.	.	.	.	.	.
B$GETCH_NS	seg002	00001E4B	00000003			R	.	L	.	.	.	.	.	.	.
B$GETCSRDATA	seg002	0000246C	0000001F	00000004		R	.	L	.	.	.	.	.	.	.
B$GETEXTERR	seg002	0000343E	00000025	00000010		R	.	L	.	.	.	.	.	.	.
B$GET_CUR_DIR	seg002	000030E0	0000001B	00000002		R	F	L	.	.	.	.	.	.	.
B$GET_CUR_DRIVE	seg002	000030D7	00000009			R	.	L	.	.	.	.	.	.	.
B$GET_CUR_NUM	seg002	000030F9	00000041	0000000C		R	.	L	.	.	.	.	.	.	.
B$GET_PATHNAME	seg002	00002F82	00000103	0000000E		R	F	L	.	.	.	.	.	.	.
B$GOSA	seg002	000015D4	0000000F	00000000		R	F	L	.	.	.	.	.	.	.
B$GRMODE	seg002	0000243C	00000006			R	.	L	.	.	.	.	.	.	.
B$GetAspect	seg002	000042EE	00000009			R	.	L	.	.	.	.	.	.	.
B$GetFilePos	seg002	00002C30	00000020			R	F	L	.	.	.	.	.	.	.
B$GetParm	seg002	0000263F	0000001D			R	F	L	.	.	.	.	.	.	.
B$GetPosition	seg002	00002BD0	0000004B			R	F	L	.	.	.	.	.	.	.
B$GetZStrLen	seg002	000022B5	00000013	00000004		R	.	L	.	.	.	.	.	.	.
B$GrScreenSize	seg002	00002431	0000000B			R	.	L	.	.	.	.	.	.	.
B$HFillStrArray	seg002	000019A6	0000002A	00000002		R	.	L	.	.	.	.	.	.	.
B$HFirstAllocBlock	seg005	00000355	00000087	00000002	00000004	R	F	L	.	.	.	B	T	.	.
B$HandleAlloc	seg005	0000064C	00000100	00000002	00000002	R	.	L	.	.	.	B	.	.	.
B$IDD1	seg002	00004652	00000077	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$INS2	seg002	000009B9	00000016	00000002	00000004	R	F	L	.	.	.	B	.	.	.
B$INS3	seg002	00000953	00000066	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$INSCSR	seg002	000024B4	00000005			R	.	L	.	.	.	.	.	.	.
B$INT4	seg003	00000098	00000016	00000002		R	F	L	.	.	.	B	.	.	.
B$IOINI	seg002	0000313B	00000046	00000004		R	.	L	.	.	.	.	.	.	.
B$IRAD	seg002	000047C6	00000044	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$Init	seg002	00001AB7	00000025	00000004		R	F	L	.	.	.	.	.	.	.
B$InitModeData	seg002	0000424A	00000035	0000000A		R	.	L	.	.	.	.	.	.	.
B$InitReadChar	seg002	00001198	00000034			R	.	.	.	.	.	.	.	.	.
B$InitSb	seg002	000023EA	00000021	00000002		R	F	L	.	.	.	.	.	.	.
B$InpReset	seg002	00000605	0000001A			R	.	L	.	.	.	.	.	.	.
B$InstallInt24	seg002	00003354	00000009	00000000		R	.	L	.	.	.	.	.	.	.
B$Int0Handler	seg002	0000372A	00000012	00000000		R	F	L	.	.	.	.	.	.	.
B$Int24Handler	seg002	0000335D	00000100	00000000		R	F	L	.	.	.	.	.	.	.
B$Int4Handler	seg002	0000372E	0000000B			R	.	L	.	.	.	.	.	.	.
B$KEYINP	seg002	00002764	0000006A	00000006		R	.	L	.	.	.	.	.	.	.
B$KYBD_BAKC	seg002	00003493	00000004			R	.	L	.	.	.	.	.	.	.
B$LBND	seg002	0000193B	0000004E	00000000	00000006	R	F	L	.	.	.	B	.	.	.
B$LDFS	seg002	0000143E	0000002E	00000002	00000006	R	F	L	.	.	.	B	.	.	.
B$LPTECHOStub	seg002	000016FC	00000022	0000000A		R	F	L	.	.	.	.	.	.	.
B$LSET	seg002	000020B9	0000001F	00000002		R	F	L	.	.	.	B	.	.	.
B$LocateFDB	seg002	000001D2	00000026	00000008		R	.	L	.	.	.	.	.	.	.
B$MCVS	seg002	00000C15	0000002D	00000000	00000004	R	F	L	.	.	.	B	.	.	.
B$MUI4	seg002	00000088	00000005	00000000	00000008	R	F	L	.	.	.	.	.	.	.
B$MUL32	seg002	00002CC9	00000022			R	F	L	.	.	.	.	.	.	.
B$MapVWC	seg002	0000427F	0000006F	00000002		R	.	L	.	.	.	.	.	.	.
B$MoveFreeAdjust	seg005	000005A7	00000050	00000002		R	.	L	.	.	.	.	.	.	.
B$MoveFreeBlock	seg005	0000099C	00000003			R	.	L	.	.	.	.	.	.	.
B$MoveFreeBlockBX	seg005	0000099F	00000060			R	.	.	.	.	.	.	.	.	.
B$MoveStackBase	seg005	000005A1	00000006			R	.	L	.	.	.	.	.	.	.
B$NHAdjustADs	seg002	00002B58	00000016			R	.	L	.	.	.	.	.	.	.
B$NHCLEAN	seg002	00002B18	00000019			R	.	L	.	.	.	.	.	.	.
B$NHClearRange	seg002	00002B31	00000027			R	.	.	.	.	.	.	.	.	.
B$NearRetEvent	seg002	0000313A	00000001			R	.	L	.	.	.	.	.	.	.
B$NextFDB	seg002	000001B4	0000001E	00000008		R	.	L	.	.	.	.	.	.	.
B$OFFCSR	seg002	000024C9	00000072	00000000		R	.	L	.	.	.	.	.	.	.
B$OGSA	seg002	00001626	00000048	00000012		.	F	L	.	.	.	B	.	.	.
B$OOPN	seg002	0000126B	00000061	00000002	00000008	R	F	L	.	.	.	B	.	.	.
B$OPEN	seg002	0000122A	00000043	00000002	00000008	R	F	L	.	.	.	B	T	.	.
B$OPENIT	seg002	000011CC	00000027	00000000		R	F	L	.	.	.	.	.	.	.
B$OPEN_DEV	seg002	00002F14	00000002			R	.	.	.	.	.	.	.	.	.
B$OneTimeTerm	seg002	00000F83	0000005E	00000002		R	.	L	.	.	.	.	.	.	.
B$OutBlanks	seg002	000005E7	0000001E	00000004		R	.	L	.	.	.	.	.	.	.
B$OutWord	seg002	0000431B	00000007			R	.	L	.	.	.	.	.	.	.
B$PCCY	seg002	0000166E	00000003			R	F	L	.	.	.	.	.	.	.
B$PCI2	seg002	0000041E	00000005	00000000	00000008	R	F	L	.	.	.	.	.	.	.
B$PCI4	seg002	00000428	00000005	00000000	00000008	R	F	L	.	.	.	.	.	.	.
B$PCSD	seg002	00000437	00000005			R	F	L	.	.	.	.	.	.	.
B$PEI2	seg002	00000423	00000005	00000000	00000008	R	F	L	.	.	.	.	.	.	.
B$PEI4	seg002	00000432	00000005	00000000	00000008	R	F	L	.	.	.	.	.	.	.
B$PEOS	seg002	000005A1	00000037	00000002		R	F	L	.	.	.	B	.	.	.
B$PESD	seg002	00000441	00000013	00000002	00000002	R	F	L	.	.	.	B	.	.	.
B$PRINT	seg002	00000457	00000064	00000002	00000008	R	F	.	.	.	.	B	.	.	.
B$PRINTNUM	seg002	00001FFB	00000026			R	.	L	.	.	.	.	.	.	.
